year,age,sex,people
2012,0,1,116
2012,1,1,102
2012,2,1,88
2012,3,1,102
2012,4,1,104
2012,5,1,108
2012,6,1,108
2012,7,1,109
2012,8,1,115
2012,9,1,119
2012,10,1,129
2012,11,1,134
2012,12,1,160
2012,13,1,148
2012,14,1,139
2012,15,1,168
2012,16,1,168
2012,17,1,168
2012,18,1,167
2012,19,1,169
2012,20,1,166
2012,21,1,165
2012,22,1,174
2012,23,1,160
2012,24,1,175
2012,25,1,158
2012,26,1,153
2012,27,1,171
2012,28,1,185
2012,29,1,190
2012,30,1,200
2012,31,1,205
2012,32,1,202
2012,33,1,207
2012,34,1,201
2012,35,1,191
2012,36,1,208
2012,37,1,179
2012,38,1,176
2012,39,1,176
2012,40,1,175
2012,41,1,181
2012,42,1,186
2012,43,1,186
2012,44,1,186
2012,45,1,178
2012,46,1,189
2012,47,1,187
2012,48,1,190
2012,49,1,192
2012,50,1,189
2012,51,1,185
2012,52,1,183
2012,53,1,180
2012,54,1,174
2012,55,1,165
2012,56,1,170
2012,57,1,165
2012,58,1,155
2012,59,1,149
2012,60,1,145
2012,61,1,146
2012,62,1,122
2012,63,1,113
2012,64,1,99
2012,65,1,86
2012,66,1,69
2012,67,1,61
2012,68,1,71
2012,69,1,71
2012,70,1,68
2012,71,1,67
2012,72,1,65
2012,73,1,60
2012,74,1,55
2012,75,1,52
2012,76,1,48
2012,77,1,46
2012,78,1,43
2012,79,1,41
2012,80,1,40
2012,81,1,40
2012,82,1,40
2012,83,1,35
2012,84,1,32
2012,85,1,28
2012,86,1,24
2012,87,1,20
2012,88,1,15
2012,89,1,12
2012,90,1,10
2012,91,1,8
2012,92,1,6
2012,93,1,4
2012,94,1,3
2012,95,1,2
2012,96,1,1
2012,97,1,1
2012,98,1,1
2012,99,1,1
2012,100,1,1
2012,0,2,106
2012,1,2,95
2012,2,2,81
2012,3,2,94
2012,4,2,95
2012,5,2,99
2012,6,2,99
2012,7,2,100
2012,8,2,104
2012,9,2,108
2012,10,2,118
2012,11,2,123
2012,12,2,146
2012,13,2,135
2012,14,2,128
2012,15,2,155
2012,16,2,154
2012,17,2,156
2012,18,2,154
2012,19,2,157
2012,20,2,153
2012,21,2,151
2012,22,2,159
2012,23,2,149
2012,24,2,163
2012,25,2,149
2012,26,2,147
2012,27,2,167
2012,28,2,181
2012,29,2,188
2012,30,2,200
2012,31,2,206
2012,32,2,205
2012,33,2,209
2012,34,2,203
2012,35,2,195
2012,36,2,210
2012,37,2,183
2012,38,2,180
2012,39,2,179
2012,40,2,179
2012,41,2,183
2012,42,2,188
2012,43,2,188
2012,44,2,187
2012,45,2,177
2012,46,2,190
2012,47,2,188
2012,48,2,191
2012,49,2,194
2012,50,2,190
2012,51,2,187
2012,52,2,185
2012,53,2,184
2012,54,2,179
2012,55,2,170
2012,56,2,175
2012,57,2,171
2012,58,2,162
2012,59,2,156
2012,60,2,152
2012,61,2,154
2012,62,2,129
2012,63,2,120
2012,64,2,105
2012,65,2,92
2012,66,2,75
2012,67,2,67
2012,68,2,78
2012,69,2,79
2012,70,2,77
2012,71,2,77
2012,72,2,76
2012,73,2,72
2012,74,2,66
2012,75,2,64
2012,76,2,59
2012,77,2,57
2012,78,2,53
2012,79,2,48
2012,80,2,45
2012,81,2,42
2012,82,2,38
2012,83,2,35
2012,84,2,31
2012,85,2,27
2012,86,2,24
2012,87,2,20
2012,88,2,16
2012,89,2,13
2012,90,2,12
2012,91,2,10
2012,92,2,7
2012,93,2,5
2012,94,2,4
2012,95,2,3
2012,96,2,2
2012,97,2,1
2012,98,2,1
2012,99,2,1
2012,100,2,1
2013,0,1,101
2013,1,1,120
2013,2,1,102
2013,3,1,88
2013,4,1,102
2013,5,1,104
2013,6,1,108
2013,7,1,108
2013,8,1,109
2013,9,1,115
2013,10,1,119
2013,11,1,129
2013,12,1,134
2013,13,1,160
2013,14,1,148
2013,15,1,139
2013,16,1,168
2013,17,1,167
2013,18,1,168
2013,19,1,167
2013,20,1,168
2013,21,1,166
2013,22,1,165
2013,23,1,174
2013,24,1,160
2013,25,1,175
2013,26,1,158
2013,27,1,153
2013,28,1,171
2013,29,1,185
2013,30,1,190
2013,31,1,200
2013,32,1,205
2013,33,1,202
2013,34,1,207
2013,35,1,201
2013,36,1,190
2013,37,1,207
2013,38,1,178
2013,39,1,175
2013,40,1,175
2013,41,1,174
2013,42,1,180
2013,43,1,185
2013,44,1,185
2013,45,1,185
2013,46,1,177
2013,47,1,189
2013,48,1,186
2013,49,1,189
2013,50,1,191
2013,51,1,188
2013,52,1,184
2013,53,1,182
2013,54,1,179
2013,55,1,173
2013,56,1,163
2013,57,1,168
2013,58,1,164
2013,59,1,154
2013,60,1,147
2013,61,1,143
2013,62,1,144
2013,63,1,121
2013,64,1,111
2013,65,1,97
2013,66,1,84
2013,67,1,68
2013,68,1,60
2013,69,1,69
2013,70,1,69
2013,71,1,66
2013,72,1,65
2013,73,1,63
2013,74,1,58
2013,75,1,53
2013,76,1,50
2013,77,1,46
2013,78,1,44
2013,79,1,41
2013,80,1,38
2013,81,1,38
2013,82,1,38
2013,83,1,37
2013,84,1,33
2013,85,1,29
2013,86,1,25
2013,87,1,22
2013,88,1,18
2013,89,1,13
2013,90,1,10
2013,91,1,8
2013,92,1,7
2013,93,1,5
2013,94,1,3
2013,95,1,2
2013,96,1,2
2013,97,1,1
2013,98,1,1
2013,99,1,1
2013,100,1,2
2013,0,2,93
2013,1,2,111
2013,2,2,95
2013,3,2,81
2013,4,2,94
2013,5,2,95
2013,6,2,99
2013,7,2,99
2013,8,2,100
2013,9,2,104
2013,10,2,108
2013,11,2,118
2013,12,2,123
2013,13,2,146
2013,14,2,135
2013,15,2,128
2013,16,2,155
2013,17,2,154
2013,18,2,156
2013,19,2,154
2013,20,2,157
2013,21,2,153
2013,22,2,151
2013,23,2,159
2013,24,2,149
2013,25,2,164
2013,26,2,149
2013,27,2,148
2013,28,2,168
2013,29,2,181
2013,30,2,189
2013,31,2,201
2013,32,2,207
2013,33,2,206
2013,34,2,209
2013,35,2,204
2013,36,2,195
2013,37,2,211
2013,38,2,183
2013,39,2,180
2013,40,2,179
2013,41,2,179
2013,42,2,183
2013,43,2,187
2013,44,2,188
2013,45,2,186
2013,46,2,177
2013,47,2,190
2013,48,2,188
2013,49,2,190
2013,50,2,194
2013,51,2,190
2013,52,2,187
2013,53,2,185
2013,54,2,184
2013,55,2,178
2013,56,2,170
2013,57,2,175
2013,58,2,170
2013,59,2,161
2013,60,2,155
2013,61,2,151
2013,62,2,153
2013,63,2,128
2013,64,2,119
2013,65,2,104
2013,66,2,92
2013,67,2,74
2013,68,2,67
2013,69,2,77
2013,70,2,78
2013,71,2,76
2013,72,2,75
2013,73,2,75
2013,74,2,70
2013,75,2,65
2013,76,2,62
2013,77,2,57
2013,78,2,55
2013,79,2,51
2013,80,2,46
2013,81,2,43
2013,82,2,40
2013,83,2,36
2013,84,2,32
2013,85,2,29
2013,86,2,25
2013,87,2,22
2013,88,2,18
2013,89,2,14
2013,90,2,12
2013,91,2,10
2013,92,2,8
2013,93,2,6
2013,94,2,4
2013,95,2,3
2013,96,2,2
2013,97,2,1
2013,98,2,1
2013,99,2,1
2013,100,2,1
2014,0,1,97
2014,1,1,106
2014,2,1,121
2014,3,1,102
2014,4,1,89
2014,5,1,102
2014,6,1,104
2014,7,1,108
2014,8,1,108
2014,9,1,109
2014,10,1,115
2014,11,1,119
2014,12,1,129
2014,13,1,134
2014,14,1,160
2014,15,1,148
2014,16,1,139
2014,17,1,168
2014,18,1,167
2014,19,1,168
2014,20,1,167
2014,21,1,168
2014,22,1,166
2014,23,1,165
2014,24,1,173
2014,25,1,160
2014,26,1,175
2014,27,1,158
2014,28,1,153
2014,29,1,171
2014,30,1,185
2014,31,1,189
2014,32,1,199
2014,33,1,205
2014,34,1,201
2014,35,1,206
2014,36,1,200
2014,37,1,190
2014,38,1,207
2014,39,1,178
2014,40,1,175
2014,41,1,175
2014,42,1,173
2014,43,1,179
2014,44,1,184
2014,45,1,185
2014,46,1,185
2014,47,1,176
2014,48,1,188
2014,49,1,185
2014,50,1,188
2014,51,1,189
2014,52,1,186
2014,53,1,183
2014,54,1,181
2014,55,1,178
2014,56,1,172
2014,57,1,162
2014,58,1,167
2014,59,1,163
2014,60,1,152
2014,61,1,146
2014,62,1,142
2014,63,1,142
2014,64,1,119
2014,65,1,110
2014,66,1,96
2014,67,1,83
2014,68,1,66
2014,69,1,59
2014,70,1,68
2014,71,1,67
2014,72,1,64
2014,73,1,63
2014,74,1,61
2014,75,1,56
2014,76,1,50
2014,77,1,48
2014,78,1,43
2014,79,1,41
2014,80,1,38
2014,81,1,36
2014,82,1,35
2014,83,1,35
2014,84,1,34
2014,85,1,30
2014,86,1,26
2014,87,1,22
2014,88,1,19
2014,89,1,16
2014,90,1,11
2014,91,1,9
2014,92,1,7
2014,93,1,6
2014,94,1,4
2014,95,1,3
2014,96,1,2
2014,97,1,1
2014,98,1,1
2014,99,1,1
2014,100,1,2
2014,0,2,89
2014,1,2,98
2014,2,2,112
2014,3,2,95
2014,4,2,81
2014,5,2,94
2014,6,2,95
2014,7,2,99
2014,8,2,99
2014,9,2,100
2014,10,2,104
2014,11,2,108
2014,12,2,118
2014,13,2,123
2014,14,2,146
2014,15,2,135
2014,16,2,128
2014,17,2,155
2014,18,2,154
2014,19,2,156
2014,20,2,154
2014,21,2,157
2014,22,2,152
2014,23,2,151
2014,24,2,159
2014,25,2,149
2014,26,2,164
2014,27,2,150
2014,28,2,148
2014,29,2,168
2014,30,2,182
2014,31,2,189
2014,32,2,201
2014,33,2,207
2014,34,2,206
2014,35,2,210
2014,36,2,204
2014,37,2,195
2014,38,2,211
2014,39,2,183
2014,40,2,180
2014,41,2,179
2014,42,2,179
2014,43,2,183
2014,44,2,187
2014,45,2,187
2014,46,2,186
2014,47,2,177
2014,48,2,190
2014,49,2,188
2014,50,2,190
2014,51,2,193
2014,52,2,190
2014,53,2,187
2014,54,2,185
2014,55,2,184
2014,56,2,178
2014,57,2,169
2014,58,2,174
2014,59,2,169
2014,60,2,161
2014,61,2,154
2014,62,2,150
2014,63,2,152
2014,64,2,128
2014,65,2,118
2014,66,2,104
2014,67,2,91
2014,68,2,74
2014,69,2,66
2014,70,2,76
2014,71,2,76
2014,72,2,75
2014,73,2,74
2014,74,2,73
2014,75,2,69
2014,76,2,63
2014,77,2,61
2014,78,2,55
2014,79,2,53
2014,80,2,49
2014,81,2,44
2014,82,2,41
2014,83,2,38
2014,84,2,34
2014,85,2,30
2014,86,2,26
2014,87,2,23
2014,88,2,20
2014,89,2,16
2014,90,2,13
2014,91,2,10
