year,age,sex,people
1961,0,1,996250
1961,0,2,943749
1961,5,1,921308
1961,5,2,873845
1961,10,1,707727
1961,10,2,668798
1961,15,1,474749
1961,15,2,446333
1961,20,1,317142
1961,20,2,457659
1961,25,1,421062
1961,25,2,400369
1961,30,1,404164
1961,30,2,355937
1961,35,1,358529
1961,35,2,295783
1961,40,1,299109
1961,40,2,238906
1961,45,1,262976
1961,45,2,200327
1961,50,1,197408
1961,50,2,167904
1961,55,1,142434
1961,55,2,127512
1961,60,1,95183
1961,60,2,95983
1961,65,1,58205
1961,65,2,65217
1961,70,1,33776
1961,70,2,45837
1961,75,1,17723
1961,75,2,30448
1961,80,1,7718
1961,80,2,19069
1961,85,1,0
1961,85,2,0
1961,90,1,0
1961,90,2,0
1961,95,1,0
1961,95,2,0
1961,100,1,0
1961,100,2,0
1981,0,1,1028974
1981,0,2,964024
1981,5,1,959696
1981,5,2,905243
1981,10,1,975557
1981,10,2,920863
1981,15,1,1026841
1981,15,2,976914
1981,20,1,992278
1981,20,2,947389
1981,25,1,906402
1981,25,2,866486
1981,30,1,687339
1981,30,2,653342
1981,35,1,455640
1981,35,2,430926
1981,40,1,461495
1981,40,2,445109
1981,45,1,425094
1981,45,2,385138
1981,50,1,480157
1981,50,2,338098
1981,55,1,398702
1981,55,2,271813
1981,60,1,279378
1981,60,2,208212
1981,65,1,198779
1981,65,2,161868
1981,70,1,113684
1981,70,2,117914
1981,75,1,58037
1981,75,2,69378
1981,80,1,23135
1981,80,2,35108
1981,85,1,6803
1981,85,2,12411
1981,90,1,1517
1981,90,2,4211
1981,95,1,0
1981,95,2,0
1981,100,1,0
1981,100,2,0
1991,0,1,843907
1991,0,2,779539
1991,5,1,924557
1991,5,2,869452
1991,10,1,1034173
1991,10,2,975522
1991,15,1,942699
1991,15,2,897348
1991,20,1,959307
1991,20,2,912295
1991,25,1,1006489
1991,25,2,959244
1991,30,1,964915
1991,30,2,924204
1991,35,1,878637
1991,35,2,841932
1991,40,1,663796
1991,40,2,635554
1991,45,1,443856
1991,45,2,429411
1991,50,1,438826
1991,50,2,434824
1991,55,1,391291
1991,55,2,369210
1991,60,1,423353
1991,60,2,316061
1991,65,1,328180
1991,65,2,243261
1991,70,1,205323
1991,70,2,170854
1991,75,1,120044
1991,75,2,112290
1991,80,1,49856
1991,80,2,62052
1991,85,1,16909
1991,85,2,24741
1991,90,1,4158
1991,90,2,7761
1991,95,1,0
1991,95,2,0
1991,100,1,0
1991,100,2,0
2001,0,1,743975
2001,0,2,682784
2001,5,1,842623
2001,5,2,776341
2001,10,1,842567
2001,10,2,773594
2001,15,1,910170
2001,15,2,858177
2001,20,1,1018859
2001,20,2,973513
2001,25,1,930094
2001,25,2,898640
2001,30,1,943317
2001,30,2,912193
2001,35,1,988598
2001,35,2,958222
2001,40,1,941127
2001,40,2,918228
2001,45,1,846586
2001,45,2,832299
2001,50,1,627410
2001,50,2,623315
2001,55,1,397003
2001,55,2,403732
2001,60,1,382731
2001,60,2,406304
2001,65,1,323539
2001,65,2,332488
2001,70,1,326319
2001,70,2,265028
2001,75,1,218110
2001,75,2,180527
2001,80,1,105011
2001,80,2,102837
2001,85,1,105011
2001,85,2,102837
2001,90,1,10045
2001,90,2,15177
2001,95,1,1994
2001,95,2,2954
2001,100,1,477
2001,100,2,646
2011,0,1,498746
2011,0,2,458244
2011,5,1,579777
2011,5,2,528609
2011,10,1,748622
2011,10,2,687792
2011,15,1,837814
2011,15,2,774423
2011,20,1,832933
2011,20,2,771069
2011,25,1,899967
2011,25,2,878871
2011,30,1,1007873
2011,30,2,1015193
2011,35,1,914496
2011,35,2,930095
2011,40,1,919426
2011,40,2,922634
2011,45,1,951201
2011,45,2,954537
2011,50,1,893621
2011,50,2,907285
2011,55,1,790656
2011,55,2,817458
2011,60,1,571994
2011,60,2,603327
2011,65,1,345490
2011,65,2,379048
2011,70,1,308671
2011,70,2,361279
2011,75,1,229209
2011,75,2,269771
2011,80,1,189644
2011,80,2,183798
2011,85,1,92019
2011,85,2,94311
2011,90,1,26964
2011,90,2,33242
2011,95,1,5524
2011,95,2,7138
2011,100,1,1027
2011,100,2,1114
